Seconds, instMass, instFuel, Acceleration, Acceleration X, Acceleration Y, Total Speed, Speed X, Speed Y, Height, Delta X, Gravitational Acceleration
54, 1650000.0, 1510000.0, 11.041330222369915,3.4789485814997527, 10.47892598727084,446.08461366119184 , 126.24049158898218, 427.84906313865747, 10244.189689370241, 2915.1976144769797, 9.794585532889595
55, 1640000.0, 1500000.0, 11.172716090384446,3.534482250783866, 10.598915984912292,457.11985212777967 , 129.71944017048193, 438.3279891259283, 10672.038752508899, 3043.1775803567116, 9.793272252062112
56, 1630000.0, 1490000.0, 11.306597527138877,3.591164971401504, 10.721132486303944,468.28620946281393 , 133.2539224212658, 448.9269051108406, 11110.366741634827, 3174.6642616525855, 9.791927080112757
57, 1620000.0, 1480000.0, 11.444192235947845,3.649231150479838, 10.846780533582145,479.58617203836553 , 136.8450873926673, 459.64803759714454, 11559.293646745668, 3309.7137665595524, 9.790549668725816
58, 1610000.0, 1470000.0, 11.58741795044643,3.7090481180627672, 10.97776010013988,491.0234489622353 , 140.49431854314713, 470.4948181307267, 12018.941684342812, 3448.3834695274595, 9.78913966353831
59, 1600000.0, 1460000.0, 11.73299130836861,3.770063272706251, 11.110792409276883,502.6036754190177 , 144.20336666120988, 481.4725782308666, 12489.436502473538, 3590.732312129638, 9.787696700469741
60, 1590000.0, 1450000.0, 11.880906234002426,3.8322954599089996, 11.245863437242985,514.3291873864564 , 147.97342993391612, 492.58337064014347, 12970.909080704405, 3736.8207104272014, 9.786220399926968
61, 1580000.0, 1440000.0, 12.031155318836582,3.8957641217835874, 11.382957445821958,526.2023141087003 , 151.80572539382513, 503.82923407738645, 13463.492451344548, 3886.710288091072, 9.784710376891864
62, 1570000.0, 1430000.0, 12.18372978774424,3.960487867083388, 11.522057428925251,538.2253767071248 , 155.70148951560873, 515.2121915232084, 13967.321685421934, 4040.463895545789, 9.783166240991514
63, 1560000.0, 1420000.0, 12.338620052114049,4.026485748770263, 11.663145257835936,550.4006868099999 , 159.66197738269213, 526.7342489521336, 14482.533876945143, 4198.145628994939, 9.781587596574308
64, 1550000.0, 1410000.0, 12.495816046802519,4.093777042995093, 11.80620210727284,562.7305456916529 , 163.68846313146238, 538.3973942099695, 15009.268125897277, 4359.820849252017, 9.779974042790514
65, 1540000.0, 1400000.0, 12.655307567556248,4.1623809842648765, 11.951208899993198,575.2172437595959 , 167.78224017445748, 550.2035963172424, 15547.665520107246, 4525.556200904977, 9.77832517367694
66, 1530000.0, 1390000.0, 12.81708469765409,4.232317079622608, 12.098146646671688,587.8630603926773 , 171.94462115872236, 562.1548052172355, 16097.869116424488, 4695.419631571567, 9.776640578244347
67, 1520000.0, 1380000.0, 12.981138206091504,4.303605236917502, 12.246996819237966,600.6702641977948 , 176.17693823834497, 574.2529518639072, 16660.023921641725, 4869.4804112701, 9.774919840566238
68, 1510000.0, 1370000.0, 13.147459874145095,4.3762654317949545, 12.397741811020744,613.6411136637262 , 180.48054347526246, 586.4999486831452, 17234.27687350563, 5047.809152126903, 9.77316253986802
69, 1500000.0, 1360000.0, 13.316043005378924,4.450318669601339, 12.550365136524864,626.7778581591298 , 184.85680890705743, 598.897690494166, 17820.776822188775, 5230.477828318063, 9.7713682506154
70, 1490000.0, 1350000.0, 13.486882653624269,4.525786100552669, 12.704851982005751,640.0827394063035 , 189.30712757665876, 611.4480556306909, 18419.67451268294, 5417.559796559922, 9.769536542600564
71, 1480000.0, 1340000.0, 13.659976055050436,4.602689612432928, 12.861189453396342,653.5579932232339 , 193.83291367721142, 624.1529076126966, 19031.122568313633, 5609.129817186857, 9.767666981025604
72, 1470000.0, 1330000.0, 13.835322971333994,4.6810519318119885, 13.019366902150095,667.2058516783668 , 198.43560328964435, 637.014097066093, 19655.27547592633, 5805.264075670285, 9.765759126581496
73, 1460000.0, 1320000.0, 14.012925998480751,4.760896619050403, 13.179376253131716,681.02854558888 , 203.11665522145634, 650.033463968243, 20292.289572992424, 6006.040204925835, 9.763812535521847
74, 1450000.0, 1310000.0, 14.192790844207124,4.842247991814165, 13.341212326216132,695.028307332662 , 207.87755184050675, 663.2128402213748, 20942.323036960668, 6211.537308456816, 9.761826759730493
75, 1440000.0, 1300000.0, 14.374926659868315,4.925131588646988, 13.504873020917465,709.2073739459222 , 212.71979983232092, 676.5540525475909, 21605.535877182043, 6421.83598429323, 9.759801346781938
