Seconds, instWeight, Thrust, ThrustX, ThrustY, Air Resistance, density
220, 1207517.241121037, 0, 0.0, 0.0, 0.02428455138467332, 3.4570291205194063e-12
221, 1205295.9153396485, 0, 0.0, 0.0, 0.02428455138467332, 2.933778890563554e-12
222, 1203083.7569086435, 0, 0.0, 0.0, 0.02428455138467332, 2.495628033793127e-12
223, 1200880.7126594877, 0, 0.0, 0.0, 0.02428455138467332, 2.127808499954984e-12
224, 1198686.7298290893, 0, 0.0, 0.0, 0.02428455138467332, 1.8182710554411562e-12
225, 1196501.7560559895, 0, 0.0, 0.0, 0.02428455138467332, 1.5571568809347016e-12
226, 1194325.7393765966, 0, 0.0, 0.0, 0.02428455138467332, 1.336377125502189e-12
227, 1192158.62822146, 0, 0.0, 0.0, 0.02428455138467332, 1.149277315432983e-12
228, 1190000.3714115862, 0, 0.0, 0.0, 0.02428455138467332, 9.903686774297447e-13
229, 1187850.9181547975, 0, 0.0, 0.0, 0.02428455138467332, 8.551123965496869e-13
230, 1185710.21804213, 0, 0.0, 0.0, 0.02428455138467332, 7.397458795614286e-13
231, 1183578.2210442694, 0, 0.0, 0.0, 0.02428455138467332, 6.411424515230744e-13
232, 1181454.877508029, 0, 0.0, 0.0, 0.02428455138467332, 5.566977410152192e-13
233, 1179340.1381528666, 0, 0.0, 0.0, 0.02428455138467332, 4.842374311622468e-13
234, 1177233.9540674367, 0, 0.0, 0.0, 0.02428455138467332, 4.219421630314851e-13
235, 1175136.2767061852, 0, 0.0, 0.0, 0.02428455138467332, 3.682862464817227e-13
236, 1173047.0578859749, 0, 0.0, 0.0, 0.02428455138467332, 3.2198751544226296e-13
237, 1170966.2497827562, 0, 0.0, 0.0, 0.02428455138467332, 2.8196620160663697e-13
238, 1168893.8049282678, 0, 0.0, 0.0, 0.02428455138467332, 2.473111246365334e-13
239, 1166829.6762067755, 0, 0.0, 0.0, 0.02428455138467332, 2.1725183286913378e-13
240, 1164773.8168518464, 0, 0.0, 0.0, 0.02428455138467332, 1.9113559528656537e-13
241, 1162726.1804431593, 0, 0.0, 0.0, 0.02428455138467332, 1.6840835793833543e-13
242, 1160686.7209033465, 0, 0.0, 0.0, 0.02428455138467332, 1.4859894761808755e-13
243, 1158655.3924948762, 0, 0.0, 0.0, 0.02428455138467332, 1.3130594136505384e-13
244, 1156632.1498169599, 0, 0.0, 0.0, 0.02428455138467332, 1.161867293139244e-13
245, 1154616.9478025003, 0, 0.0, 0.0, 0.02428455138467332, 1.0294838606589924e-13
246, 1152609.7417150699, 0, 0.0, 0.0, 0.02428455138467332, 9.134003643395998e-14
247, 1150610.4871459205, 0, 0.0, 0.0, 0.02428455138467332, 8.11464585463352e-14
248, 1148619.140011026, 0, 0.0, 0.0, 0.02428455138467332, 7.218271357750106e-14
249, 1146635.65654816, 0, 0.0, 0.0, 0.02428455138467332, 6.428962895947471e-14
250, 1144659.9933139964, 0, 0.0, 0.0, 0.02428455138467332, 5.732999251101209e-14
251, 1142692.107181252, 0, 0.0, 0.0, 0.02428455138467332, 5.1185339865773405e-14
252, 1140731.95533585, 0, 0.0, 0.0, 0.02428455138467332, 4.575323796623062e-14
253, 1138779.49527412, 0, 0.0, 0.0, 0.02428455138467332, 4.0944984085489935e-14
254, 1136834.6848000244, 0, 0.0, 0.0, 0.02428455138467332, 3.668365354017054e-14
255, 1134897.4820224147, 0, 0.0, 0.0, 0.02428455138467332, 3.290244052351753e-14
256, 1132967.8453523184, 0, 0.0, 0.0, 0.02428455138467332, 2.954324576990703e-14
257, 1131045.7335002539, 0, 0.0, 0.0, 0.02428455138467332, 2.655547242389526e-14
258, 1129131.105473573, 0, 0.0, 0.0, 0.02428455138467332, 2.3894997823625768e-14
259, 1127223.920573831, 0, 0.0, 0.0, 0.02428455138467332, 2.1523294158651335e-14
260, 1125324.1383941886, 0, 0.0, 0.0, 0.02428455138467332, 1.9406675320199583e-14
261, 1123431.7188168336, 0, 0.0, 0.0, 0.02428455138467332, 1.7515650885687105e-14
262, 1121546.6220104375, 0, 0.0, 0.0, 0.02428455138467332, 1.582437119780805e-14
263, 1119668.8084276337, 0, 0.0, 0.0, 0.02428455138467332, 1.4310150017193466e-14
264, 1117798.2388025238, 0, 0.0, 0.0, 0.02428455138467332, 1.295305333275841e-14
265, 1115934.8741482098, 0, 0.0, 0.0, 0.02428455138467332, 1.1735544676239134e-14
266, 1114078.6757543522, 0, 0.0, 0.0, 0.02428455138467332, 1.064217876525855e-14
267, 1112229.6051847527, 0, 0.0, 0.0, 0.02428455138467332, 9.65933654046863e-15
268, 1110387.6242749644, 0, 0.0, 0.0, 0.02428455138467332, 8.774995706417413e-15
269, 1108552.6951299214, 0, 0.0, 0.0, 0.02428455138467332, 7.97853176543347e-15
270, 1106724.7801216003, 0, 0.0, 0.0, 0.02428455138467332, 7.260545276030698e-15
271, 1104903.8418866997, 0, 0.0, 0.0, 0.02428455138467332, 6.6127116945182795e-15
272, 1103089.8433243472, 0, 0.0, 0.0, 0.02428455138467332, 6.02765068925404e-15
273, 1101282.7475938282, 0, 0.0, 0.0, 0.02428455138467332, 5.498812266773853e-15
274, 1099482.5181123395, 0, 0.0, 0.0, 0.02428455138467332, 5.020377430755654e-15
275, 1097689.1185527637, 0, 0.0, 0.0, 0.02428455138467332, 4.587171419182327e-15
276, 1095902.5128414703, 0, 0.0, 0.0, 0.02428455138467332, 4.194587841138217e-15
